Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2022-05-31 10:45:00,2022-05-31 10:00:00,BUY,1.0729,1.0715000000000001,1.077,-1,EURUSD
2023-02-13 15:00:00,2023-02-13 09:30:00,SELL,0.9241,0.9254,0.9202,3,USDCHF
2022-06-17 14:15:00,2022-06-17 09:00:00,SELL,1.0519,1.0538,1.0463,3,EURUSD
2023-02-13 18:30:00,2023-02-13 15:00:00,BUY,0.9206,0.9196000000000001,0.9236,-1,USDCHF
2023-03-16 15:30:00,2023-03-16 14:30:00,SELL,0.9287,0.9316,0.92,-1,USDCHF
2022-06-20 14:45:00,2022-06-20 14:15:00,SELL,1.0527,1.0539,1.0492,-1,EURUSD
2022-06-21 07:15:00,2022-06-20 14:45:00,SELL,1.0527,1.0545,1.0472,-1,EURUSD
2023-03-17 10:30:00,2023-03-17 08:15:00,SELL,0.9262,0.9274,0.9227,-1,USDCHF
2023-05-19 15:15:00,2023-05-19 09:15:00,SELL,0.903,0.9038999999999999,0.9001,3,USDCHF
2022-06-21 18:45:00,2022-06-21 14:45:00,SELL,1.0558,1.0569,1.0525,3,EURUSD
2022-06-24 14:00:00,2022-06-24 10:00:00,SELL,1.0546,1.0558,1.0508,-1,EURUSD
2023-06-07 10:30:00,2023-06-06 14:30:00,SELL,0.9089,0.9099999999999999,0.9055,3,USDCHF
2023-06-20 14:15:00,2023-06-20 13:15:00,SELL,0.8978,0.899,0.8941,-1,USDCHF
2022-07-15 10:30:00,2022-07-15 09:45:00,SELL,1.0041,1.0051999999999999,1.0007,-1,EURUSD
2023-06-20 14:15:00,2023-06-20 13:45:00,SELL,0.8979,0.899,0.8947,-1,USDCHF
2022-08-04 14:00:00,2022-08-04 09:30:00,SELL,1.0188,1.0199,1.0157,-1,EURUSD
2022-08-04 14:00:00,2022-08-04 09:45:00,SELL,1.0187,1.0201,1.0146,-1,EURUSD
2023-06-28 12:00:00,2023-06-28 08:45:00,BUY,0.8948,0.894,0.8973,3,USDCHF
2023-07-05 03:15:00,2023-07-04 09:30:00,BUY,0.895,0.8942,0.8975,3,USDCHF
2022-08-31 14:30:00,2022-08-31 08:45:00,BUY,0.9991,0.9971,1.0052,3,EURUSD
2023-07-05 06:15:00,2023-07-04 14:00:00,BUY,0.8955,0.8947,0.8981,3,USDCHF
2022-08-31 14:30:00,2022-08-31 08:45:00,BUY,0.9991,0.9971,1.0052,3,EURUSD
2022-09-19 22:00:00,2022-09-19 13:15:00,BUY,0.9988,0.9973000000000001,1.0031,3,EURUSD
2023-07-10 14:00:00,2023-07-10 09:30:00,BUY,0.8892,0.8884000000000001,0.8918,-1,USDCHF
