Date,Time,Currency,Name,,,,,
2020-02-27 00:00:00,00:30,AUD,Private Capital Expenditure q/q,-2.8%,0.5%,-0.4%,-0.2%,114644
2020-02-28 00:00:00,13:30,CAD,GDP m/m,0.3%,0.1%,0.1%,,113758
2020-02-28 00:00:00,19:30,USD,Fed Announcement,,,,,115987
2020-02-29 00:00:00,01:00,CNY,Manufacturing PMI,35.7,45.1,50.0,,115619
2020-02-29 00:00:00,01:00,CNY,Non-Manufacturing PMI,29.6,51.4,54.1,,115632
2020-03-02 00:00:00,01:45,CNY,Caixin Manufacturing PMI,40.3,46.1,51.1,,115596
2020-03-02 00:00:00,15:00,USD,ISM Manufacturing PMI,50.1,50.5,50.9,,111394
2020-03-03 00:00:00,00:30,AUD,Building Approvals m/m,-15.3%,1.1%,3.9%,-0.2%,114688
2020-03-03 00:00:00,03:30,AUD,Cash Rate,0.50%,0.50%,0.75%,,112778
2020-03-03 00:00:00,03:30,AUD,RBA Rate Statement,,,,,112789
2020-03-03 00:00:00,09:30,GBP,Monetary Policy Report Hearings,,,,,112143
2020-03-03 00:00:00,12:01,All,G7 Meetings,,,,,115982
2020-03-03 00:00:00,15:00,USD,Federal Funds Rate,1.25%,,1.75%,,115984
2020-03-03 00:00:00,15:00,USD,FOMC Statement,,,,,115986
2020-03-03 00:00:00,16:00,USD,FOMC Press Conference,,,,,115985
2020-03-04 00:00:00,00:30,AUD,GDP q/q,0.5%,0.4%,0.6%,0.4%,114628
2020-03-04 00:00:00,13:15,USD,ADP Non-Farm Employment Change,183K,170K,209K,291K,111104
2020-03-04 00:00:00,14:15,GBP,BOE Gov Bailey Speaks,,,,,115988
2020-03-04 00:00:00,15:00,CAD,BOC Rate Statement,,,,,113665
2020-03-04 00:00:00,15:00,CAD,Overnight Rate,1.25%,1.25%,1.75%,,113664
2020-03-04 00:00:00,15:00,USD,ISM Services PMI,57.3,54.9,55.5,,111507
2020-03-05 00:00:00,00:30,AUD,Trade Balance,5.21B,4.80B,5.38B,5.22B,114674
2020-03-05 00:00:00,09:15,All,OPEC Meetings,,,,,115837
2020-03-05 00:00:00,17:00,GBP,BOE Gov Carney Speaks,,,,,115972
2020-03-05 00:00:00,17:45,CAD,BOC Gov Poloz Speaks,,,,,115970
2020-03-06 00:00:00,00:30,AUD,Retail Sales m/m,-0.3%,0.0%,-0.7%,-0.5%,114662
2020-03-06 00:00:00,13:30,CAD,Employment Change,30.3K,10.5K,34.5K,,111280
2020-03-06 00:00:00,13:30,CAD,Trade Balance,-1.5B,-0.8B,-0.7B,-0.4B,113784
2020-03-06 00:00:00,13:30,CAD,Unemployment Rate,5.6%,5.6%,5.5%,,111279
2020-03-06 00:00:00,13:30,USD,Average Hourly Earnings m/m,0.3%,0.3%,0.2%,,111073
2020-03-06 00:00:00,13:30,USD,Non-Farm Employment Change,273K,175K,273K,225K,111071
2020-03-06 00:00:00,13:30,USD,Unemployment Rate,3.5%,3.6%,3.6%,,111072
2020-03-07 00:00:00,03:04,CNY,Trade Balance,-43B,,329B,,115745
2020-03-09 00:00:00,22:34,USD,President Trump Speaks,,,,,115993
2020-03-10 00:00:00,01:00,NZD,RBNZ Gov Orr Speaks,,,,,115989
2020-03-11 00:00:00,07:00,GBP,Monetary Policy Summary,,,,,115997
2020-03-11 00:00:00,07:00,GBP,MPC Official Bank Rate Votes,0-9-0,,0-2-7,,116000
2020-03-11 00:00:00,07:00,GBP,Official Bank Rate,0.25%,,0.75%,,115996
2020-03-11 00:00:00,09:00,GBP,BOE Gov Carney Speaks,,,,,116001
2020-03-11 00:00:00,12:30,GBP,Annual Budget Release,,,,,112122
2020-03-11 00:00:00,12:30,USD,Core CPI m/m,0.2%,0.2%,0.2%,,114136
2020-03-11 00:00:00,12:30,USD,CPI m/m,0.1%,0.0%,0.1%,,114137
2020-03-11 00:00:00,12:30,USD,CPI y/y,2.3%,2.2%,2.5%,,128628
2020-03-11 00:00:00,14:00,USD,Treasury Sec Mnuchin Speaks,,,,,115994
2020-03-12 00:00:00,01:00,USD,President Trump Speaks,,,,,116004
2020-03-12 00:00:00,12:45,EUR,Main Refinancing Rate,0.00%,0.00%,0.00%,,112816
2020-03-12 00:00:00,12:45,EUR,Monetary Policy Statement,,,,,112817
2020-03-12 00:00:00,13:30,EUR,ECB Press Conference,,,,,112818
2020-03-13 00:00:00,18:08,CAD,BOC Rate Statement,,,,,116011
2020-03-13 00:00:00,18:08,CAD,Overnight Rate,0.75%,,1.25%,,116010
