,Date,Time,Currency,Name,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
170,2020-03-11,12:30,USD,CPI m/m,0.1%,0.0%,0.1%,,114137
171,2020-03-11,12:30,USD,CPI y/y,2.3%,2.2%,2.5%,,128628
172,2020-03-11,14:00,USD,Treasury Sec Mnuchin Speaks,,,,,115994
173,2020-03-12,01:00,USD,President Trump Speaks,,,,,116004
174,2020-03-12,12:45,EUR,Main Refinancing Rate,0.00%,0.00%,0.00%,,112816
175,2020-03-12,12:45,EUR,Monetary Policy Statement,,,,,112817
176,2020-03-12,13:30,EUR,ECB Press Conference,,,,,112818
177,2020-03-13,18:08,CAD,BOC Rate Statement,,,,,116011
178,2020-03-13,18:08,CAD,Overnight Rate,0.75%,,1.25%,,116010
179,2020-03-13,18:13,CAD,BOC Gov Poloz Speaks,,,,,116012
180,2020-03-13,19:30,USD,President Trump Speaks,,,,,116008
181,2020-03-15,19:00,NZD,Official Cash Rate,0.25%,,1.00%,,116013
182,2020-03-15,19:00,NZD,RBNZ Rate Statement,,,,,116014
183,2020-03-15,21:00,USD,Fed Announcement,,,,,116024
184,2020-03-15,21:00,USD,Federal Funds Rate,<0.25%,,1.25%,,116015
185,2020-03-15,21:00,USD,FOMC Statement,,,,,116016
186,2020-03-15,21:17,USD,President Trump Speaks,,,,,116017
187,2020-03-15,22:00,NZD,RBNZ Press Conference,,,,,116019
188,2020-03-15,22:30,USD,FOMC Press Conference,,,,,116018
189,2020-03-16,02:00,CNY,Industrial Production y/y,-13.5%,-3.0%,6.9%,,115682
190,2020-03-16,05:06,JPY,BOJ Policy Rate,-0.10%,-0.10%,-0.10%,,116020
191,2020-03-16,05:06,JPY,Monetary Policy Statement,,,,,116021
192,2020-03-16,10:15,All,G7 Meetings,,,,,116009
193,2020-03-16,19:25,USD,President Trump Speaks,,,,,116029
194,2020-03-17,00:30,AUD,Monetary Policy Meeting Minutes,,,,,114533
195,2020-03-17,10:00,EUR,German ZEW Economic Sentiment,-49.5,-29.7,8.7,,115882
196,2020-03-17,10:15,EUR,EU Economic Summit,,,,,116026
197,2020-03-17,12:30,USD,Core Retail Sales m/m,-0.4%,0.1%,0.6%,0.3%,114247
198,2020-03-17,12:30,USD,Retail Sales m/m,-0.5%,0.2%,0.6%,0.3%,114246
199,2020-03-17,14:45,USD,Fed Announcement,,,,,116031
200,2020-03-17,15:40,USD,President Trump Speaks,,,,,116032
201,2020-03-17,22:00,USD,Fed Announcement,,,,,116034
202,2020-03-18,00:30,AUD,Retail Sales m/m,0.4%,0.4%,-0.3%,,116030
203,2020-03-18,12:30,CAD,CPI m/m,0.4%,0.4%,0.3%,,114412
204,2020-03-18,15:51,CAD,BOC Gov Poloz Speaks,,,,,116036
205,2020-03-18,16:07,USD,President Trump Speaks,,,,,116035
206,2020-03-18,21:45,NZD,GDP q/q,0.5%,0.5%,0.8%,0.7%,113495
207,2020-03-19,00:30,AUD,Employment Change,26.7K,8.5K,12.9K,13.5K,114586
208,2020-03-19,00:30,AUD,Unemployment Rate,5.1%,5.3%,5.3%,,114598
209,2020-03-19,03:30,AUD,Cash Rate,0.25%,,0.50%,,116048
210,2020-03-19,03:30,AUD,RBA Rate Statement,,,,,116049
211,2020-03-19,05:00,AUD,RBA Gov Lowe Speaks,,,,,116033
212,2020-03-19,08:30,CHF,SNB Monetary Policy Assessment,,,,,112063
213,2020-03-19,08:30,CHF,SNB Policy Rate,-0.75%,-0.75%,-0.75%,,112064
214,2020-03-19,09:00,EUR,German ifo Business Climate,87.7,,96.0,96.1,116052
215,2020-03-19,09:15,CHF,SNB Press Conference,,,,,116051
216,2020-03-19,13:00,USD,Fed Announcement,,,,,116053
217,2020-03-19,14:30,GBP,Monetary Policy Summary,,,,,116055
218,2020-03-19,14:30,GBP,MPC Official Bank Rate Votes,0-9-0,,0-9-0,,116058
219,2020-03-19,14:30,GBP,Official Bank Rate,0.10%,,0.25%,,116054
220,2020-03-19,15:38,USD,President Trump Speaks,,,,,116046
221,2020-03-19,16:30,GBP,BOE Gov Bailey Speaks,,,,,116059
222,2020-03-20,12:30,CAD,Core Retail Sales m/m,-0.1%,0.2%,0.7%,0.5%,113717
223,2020-03-20,14:00,USD,Fed Announcement,,,,,116063
224,2020-03-20,15:00,USD,Fed Announcement,,,,,116065
225,2020-03-20,15:50,USD,President Trump Speaks,,,,,116064
226,2020-03-21,16:30,USD,President Trump Speaks,,,,,116075
227,2020-03-23,12:00,USD,Fed Announcement,,,,,116076
228,2020-03-23,22:12,USD,President Trump Speaks,,,,,116077
229,2020-03-24,08:15,EUR,French Flash Services PMI,29.0,39.6,52.5,52.6,111605
230,2020-03-24,08:30,EUR,German Flash Manufacturing PMI,45.7,40.1,48.0,47.8,111603
231,2020-03-24,08:30,EUR,German Flash Services PMI,34.5,43.0,52.5,53.3,111602
232,2020-03-24,09:30,GBP,Flash Manufacturing PMI,48.0,45.1,51.7,51.9,113432
233,2020-03-24,09:30,GBP,Flash Services PMI,35.7,45.0,53.2,53.3,113438
234,2020-03-24,10:15,All,G7 Meetings,,,,,116078
235,2020-03-24,13:45,USD,Flash Manufacturing PMI,49.2,45.1,50.7,50.8,111599
236,2020-03-24,16:05,USD,President Trump Speaks,,,,,116080
237,2020-03-25,07:00,GBP,CPI y/y,1.7%,1.7%,1.8%,,112301
238,2020-03-26,11:06,USD,Fed Chair Powell Speaks,,,,,116081
239,2020-03-26,12:00,GBP,Monetary Policy Summary,,,,,112085
240,2020-03-26,12:00,GBP,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-9-0,,112088
241,2020-03-26,12:00,GBP,Official Bank Rate,0.10%,0.10%,0.10%,,112086
242,2020-03-26,12:30,USD,Unemployment Claims,3283K,1648K,282K,281K,110778
243,2020-03-27,13:00,CAD,BOC Rate Statement,,,,,116083
244,2020-03-27,13:00,CAD,Overnight Rate,0.25%,,0.75%,,116084
245,2020-03-27,13:30,CAD,BOC Press Conference,,,,,116085
246,2020-03-27,17:00,CAD,BOC Gov Poloz Speaks,,,,,116086
247,2020-03-27,21:30,USD,President Trump Speaks,,,,,116087
248,2020-03-29,21:43,USD,President Trump Speaks,,,,,116088
249,2020-03-30,21:15,USD,President Trump Speaks,,,,,116094
250,2020-03-31,00:00,NZD,ANZ Business Confidence,-63.5,,-19.4,,113394
251,2020-03-31,01:00,CNY,Manufacturing PMI,52.0,44.9,35.7,,115620
252,2020-03-31,12:30,USD,Fed Announcement,,,,,116095
253,2020-03-31,14:00,USD,CB Consumer Confidence,120.0,115.1,132.6,130.7,113933
254,2020-03-31,21:30,USD,President Trump Speaks,,,,,116096
255,2020-04-01,12:15,USD,ADP Non-Farm Employment Change,-27K,-150K,179K,183K,111105
256,2020-04-01,14:00,USD,ISM Manufacturing PMI,49.1,44.9,50.1,,111410
257,2020-04-01,21:37,USD,President Trump Speaks,,,,,116097
258,2020-04-02,12:30,USD,Unemployment Claims,6648K,3600K,3307K,3283K,110779
259,2020-04-02,21:23,USD,President Trump Speaks,,,,,116099
260,2020-04-03,12:30,USD,Average Hourly Earnings m/m,0.4%,0.2%,0.3%,,111075
261,2020-04-03,12:30,USD,Non-Farm Employment Change,-701K,-100K,275K,273K,111076
262,2020-04-03,12:30,USD,Unemployment Rate,4.4%,3.8%,3.5%,,111074
263,2020-04-04,19:30,USD,President Trump Speaks,,,,,116105
264,2020-04-05,22:45,USD,President Trump Speaks,,,,,116106
265,2020-04-06,14:30,CAD,BOC Business Outlook Survey,,,,,113656
266,2020-04-06,21:42,USD,President Trump Speaks,,,,,116110
267,2020-04-07,04:30,AUD,Cash Rate,0.25%,0.25%,0.25%,,112779
268,2020-04-07,04:30,AUD,RBA Rate Statement,,,,,112790
269,2020-04-07,21:42,USD,President Trump Speaks,,,,,116115
270,2020-04-08,01:00,NZD,Prelim ANZ Business Confidence,-73.1,,-63.5,,116116
271,2020-04-08,21:46,USD,President Trump Speaks,,,,,116121
272,2020-04-09,09:15,All,OPEC Meetings,,,,,116102
273,2020-04-09,10:15,All,OPEC-JMMC Meetings,,,,,116104
274,2020-04-09,11:30,EUR,ECB Monetary Policy Meeting Accounts,,,,,112839
275,2020-04-09,12:30,CAD,Employment Change,-1010.7K,-427.0K,30.3K,,113696
276,2020-04-09,12:30,CAD,Unemployment Rate,7.8%,7.4%,5.6%,,113695
277,2020-04-09,12:30,USD,Fed Announcement,,,,,116122
278,2020-04-09,12:30,USD,Unemployment Claims,6606K,5000K,6867K,6648K,110780
279,2020-04-09,14:00,USD,Fed Chair Powell Speaks,,,,,116119
280,2020-04-09,22:24,USD,President Trump Speaks,,,,,116124
281,2020-04-10,12:30,USD,Core CPI m/m,-0.1%,0.1%,0.2%,,114138
282,2020-04-10,12:30,USD,CPI m/m,-0.4%,-0.3%,0.1%,,114139
283,2020-04-10,12:30,USD,CPI y/y,1.5%,1.6%,2.3%,,128629
284,2020-04-10,15:15,All,G20 Meetings,,,,,116109
285,2020-04-10,18:00,USD,President Trump Speaks,,,,,116127
286,2020-04-12,10:15,All,OPEC-JMMC Meetings,,,,,116131
287,2020-04-13,21:49,USD,President Trump Speaks,,,,,116133
288,2020-04-14,03:49,CNY,Trade Balance,139B,175B,-43B,,115750
289,2020-04-14,10:15,All,G7 Meetings,,,,,116132
290,2020-04-14,22:15,USD,President Trump Speaks,,,,,116137
291,2020-04-15,12:30,USD,Core Retail Sales m/m,-4.5%,-4.9%,-0.4%,,114249
292,2020-04-15,12:30,USD,Retail Sales m/m,-8.7%,-8.0%,-0.4%,-0.5%,114248
293,2020-04-15,14:00,CAD,BOC Monetary Policy Report,,,,,113667
294,2020-04-15,14:00,CAD,BOC Rate Statement,,,,,113668
295,2020-04-15,14:00,CAD,Overnight Rate,0.25%,0.25%,0.25%,,113666
296,2020-04-15,14:30,CAD,BOC Press Conference,,,,,113669
297,2020-04-15,21:50,USD,President Trump Speaks,,,,,116138
298,2020-04-16,01:30,AUD,Employment Change,5.9K,-33.0K,25.6K,26.7K,114587
299,2020-04-16,01:30,AUD,Unemployment Rate,5.2%,5.4%,5.1%,,114599
300,2020-04-16,12:30,USD,Unemployment Claims,5245K,5350K,6615K,6606K,110781
301,2020-04-16,20:00,CAD,BOC Gov Poloz Speaks,,,,,116140
302,2020-04-16,22:08,USD,President Trump Speaks,,,,,116141
303,2020-04-17,02:00,CNY,GDP q/y,-6.8%,-6.2%,6.0%,,115740
304,2020-04-17,22:00,USD,President Trump Speaks,,,,,116142
305,2020-04-18,22:00,USD,President Trump Speaks,,,,,116143
306,2020-04-19,22:25,USD,President Trump Speaks,,,,,116144
307,2020-04-20,21:40,USD,President Trump Speaks,,,,,116146
308,2020-04-21,05:00,AUD,RBA Gov Lowe Speaks,,,,,116139
309,2020-04-21,06:00,GBP,Claimant Count Change,12.1K,170.0K,6.0K,17.3K,112260
310,2020-04-21,21:46,USD,President Trump Speaks,,,,,116148
311,2020-04-22,01:30,AUD,Retail Sales m/m,8.2%,7.2%,0.5%,0.4%,116147
312,2020-04-22,22:11,USD,President Trump Speaks,,,,,116149
313,2020-04-23,07:15,EUR,French Flash Services PMI,10.4,24.7,27.4,29.0,111610
314,2020-04-23,07:30,EUR,German Flash Manufacturing PMI,34.4,39.0,45.4,45.7,111608
315,2020-04-23,07:30,EUR,German Flash Services PMI,15.9,28.3,31.7,34.5,111609
316,2020-04-23,08:30,GBP,Flash Manufacturing PMI,32.9,42.0,47.8,48.0,113433
317,2020-04-23,08:30,GBP,Flash Services PMI,12.3,28.5,34.5,35.7,113439
318,2020-04-23,12:30,USD,Unemployment Claims,4427K,4350K,5237K,5245K,110782
319,2020-04-23,13:45,USD,Flash Manufacturing PMI,36.9,35.1,48.5,49.2,111613
320,2020-04-23,21:43,USD,President Trump Speaks,,,,,116152
321,2020-04-24,06:00,GBP,Retail Sales m/m,-5.1%,-4.5%,-0.3%,,112473
322,2020-04-24,08:00,EUR,German ifo Business Climate,74.3,79.8,85.9,86.1,112910
323,2020-04-24,12:30,USD,Core Durable Goods Orders m/m,-0.2%,-6.1%,-0.7%,-0.6%,114187
324,2020-04-24,21:40,USD,President Trump Speaks,,,,,116155
325,2020-04-27,03:08,JPY,Monetary Policy Statement,,,,,114852
326,2020-04-27,03:09,JPY,BOJ Outlook Report,,,,,114824
327,2020-04-27,21:38,USD,President Trump Speaks,,,,,116157
328,2020-04-28,14:00,USD,CB Consumer Confidence,86.9,88.3,118.8,120.0,113934
