Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2022-10-24 11:00:00,2022-10-24 09:30:00,BUY,1.1316,1.1293,1.1384,-1,GBPUSD
2022-10-31 17:30:00,2022-10-31 13:45:00,BUY,1.15,1.1472,1.1584,-1,GBPUSD
2022-11-02 14:45:00,2022-11-02 14:15:00,BUY,1.1485,1.1472,1.1524,-1,GBPUSD
2022-11-08 15:00:00,2022-11-08 09:45:00,SELL,1.1469,1.1497,1.1387,-1,GBPUSD
2022-12-19 15:30:00,2022-12-19 13:15:00,BUY,1.2168,1.2153,1.2213,-1,GBPUSD
2022-12-27 01:45:00,2022-12-26 08:15:00,BUY,1.2056,1.2044000000000001,1.2094,3,GBPUSD
2022-12-30 13:00:00,2022-12-30 09:45:00,BUY,1.204,1.2024000000000001,1.2086,-1,GBPUSD
2023-01-27 14:45:00,2023-01-27 09:00:00,SELL,1.2379,1.2391999999999999,1.2341,-1,GBPUSD
2023-02-10 15:45:00,2023-02-10 10:00:00,BUY,1.2101,1.2077,1.2173,-1,GBPUSD
2023-02-16 12:45:00,2023-02-16 09:30:00,BUY,1.2055,1.2036,1.2111,-1,GBPUSD
2023-03-03 15:00:00,2023-03-03 10:00:00,BUY,1.199,1.1971,1.2049,-1,GBPUSD
2023-03-09 14:00:00,2023-03-09 08:00:00,BUY,1.1854,1.1835,1.1911,3,GBPUSD
2023-03-13 13:15:00,2023-03-13 08:15:00,SELL,1.2093,1.2125,1.1995,-1,GBPUSD
2023-04-07 10:30:00,2023-04-07 09:45:00,SELL,1.2439,1.2445,1.2422,-1,GBPUSD
2023-04-11 10:45:00,2023-04-11 08:15:00,SELL,1.2435,1.2448,1.2395,-1,GBPUSD
2023-04-11 10:45:00,2023-04-11 09:00:00,SELL,1.2434,1.2449999999999999,1.2386,-1,GBPUSD
2023-04-12 12:30:00,2023-04-12 10:00:00,SELL,1.2415,1.2430999999999999,1.2367,-1,GBPUSD
2023-04-12 17:15:00,2023-04-12 14:15:00,SELL,1.2469,1.2487,1.2415,-1,GBPUSD
2023-04-28 12:45:00,2023-04-28 09:00:00,BUY,1.2455,1.2444,1.249,3,GBPUSD
2023-05-02 13:30:00,2023-05-02 09:15:00,BUY,1.247,1.245,1.253,-1,GBPUSD
2023-05-31 13:30:00,2023-05-31 08:45:00,BUY,1.2357,1.2345,1.2393,3,GBPUSD
2023-07-18 10:30:00,2023-07-17 08:30:00,SELL,1.3094,1.3112,1.3039,-1,GBPUSD
2023-07-18 10:30:00,2023-07-18 10:00:00,SELL,1.3102,1.3113,1.3068,-1,GBPUSD
2023-07-18 16:30:00,2023-07-18 14:30:00,SELL,1.3085,1.3101,1.3037,3,GBPUSD
2023-07-20 10:45:00,2023-07-20 10:00:00,BUY,1.2914,1.29,1.2956,-1,GBPUSD
2023-08-15 13:00:00,2023-08-15 09:45:00,SELL,1.2717,1.2732999999999999,1.267,-1,GBPUSD
2023-08-16 12:45:00,2023-08-16 09:15:00,SELL,1.2758,1.2769,1.2724,3,GBPUSD
2023-08-18 10:00:00,2023-08-18 08:30:00,SELL,1.2721,1.2732999999999999,1.2685,-1,GBPUSD
2023-08-21 11:00:00,2023-08-21 10:00:00,SELL,1.2733,1.2748,1.2687,-1,GBPUSD
2023-08-28 14:45:00,2023-08-28 13:30:00,BUY,1.2591,1.2577,1.2633,-1,GBPUSD
2023-08-29 00:00:00,2023-08-28 09:15:00,BUY,1.2575,1.2562,1.2616,3,GBPUSD
2023-08-29 01:45:00,2023-08-28 08:30:00,BUY,1.258,1.2565,1.2625,3,GBPUSD
2023-08-29 10:15:00,2023-08-29 09:15:00,BUY,1.2611,1.2599,1.2649,-1,GBPUSD
2023-09-05 02:30:00,2023-09-04 14:15:00,BUY,1.2624,1.2614,1.2652,-1,GBPUSD
