Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2022-09-02 10:00:00,1.00898,0.99208,1.00175,0.99534,1,1.00175,1.00037,-1
2022-09-02 14:00:00,1.00898,0.99208,1.00175,0.99894,1,1.00083,0.99894,-1
2022-09-04 22:00:00,1.00175,0.99159,1.00175,0.99894,1,0.99324,0.99159,-1
2022-09-04 22:00:00,1.00175,0.99159,0.99324,0.99894,1,0.99324,0.99159,-1
2022-09-05 02:00:00,0.99324,0.99126,0.99324,0.99894,1,0.99217,0.99126,-1
2022-09-05 06:00:00,0.99324,0.98772,0.99324,0.99894,1,0.98952,0.98772,1
2022-09-05 06:00:00,0.99324,0.98772,0.99324,0.98772,1,0.98952,0.98772,1
2022-09-05 14:00:00,0.99324,0.98772,0.99324,0.99202,1,0.99286,0.99202,1
2022-09-05 18:00:00,0.99359,0.99202,0.99324,0.99202,1,0.99359,0.99303,1
2022-09-05 18:00:00,0.99359,0.99202,0.99359,0.99202,1,0.99359,0.99303,1
2022-09-05 22:00:00,0.99428,0.99202,0.99359,0.99202,2,0.99428,0.9929,1
2022-09-06 02:00:00,0.99642,0.99202,0.99359,0.99202,2,0.99642,0.9955,-1
2022-09-06 14:00:00,0.99359,0.98638,0.99359,0.99202,-1,0.98843,0.98638,1
2022-09-06 14:00:00,0.99359,0.98638,0.99359,0.98638,-1,0.98843,0.98638,1
2022-09-06 18:00:00,0.99359,0.98638,0.99359,0.98953,-1,0.99051,0.98953,1
2022-09-07 06:00:00,0.99359,0.98638,0.99359,0.98872,-1,0.98992,0.98872,1
2022-09-07 10:00:00,0.99359,0.98638,0.99359,0.98936,-1,0.99105,0.98936,1
2022-09-07 14:00:00,0.99359,0.98638,0.99359,0.98991,-1,0.99205,0.98991,1
2022-09-07 18:00:00,0.9998,0.98991,0.99359,0.98991,1,0.9998,0.99901,1
2022-09-07 22:00:00,1.00115,0.98991,0.99359,0.98991,1,1.00115,1.00077,1
2022-09-08 10:00:00,1.00115,0.98991,0.99359,0.99925,1,1.00008,0.99925,1
2022-09-08 14:00:00,1.00115,0.98991,0.99359,0.99418,1,0.99649,0.99418,1
